Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.50,19.00,22.30,27.10,67.20,82.30,96.60,117.40
Child,2 years,15.50,19.00,22.30,27.10,67.20,82.30,96.60,117.40
Child,3-5 years,16.80,20.80,25.70,30.90,72.80,90.10,111.40,133.90
Child,6-8 years,20.80,27.70,34.40,40.00,90.10,120.00,149.10,173.30
Child,9-11 years,24.70,31.40,40.00,46.50,107.00,136.10,173.30,201.50
Male,12-14 years,25.50,35.40,43.90,51.50,110.50,153.40,190.20,223.10
Male,15-19 years,26.30,36.40,45.40,52.40,114.00,157.70,196.70,227.00
Male,20-50 years,28.20,36.20,45.10,54.70,122.20,156.90,195.40,237.00
Male,51 years and over,25.40,34.50,42.50,51.00,110.10,149.50,184.20,221.00
Female,12-19 years,25.50,30.50,37.00,44.70,110.50,132.20,160.30,193.70
Female,20-50 years,25.40,31.60,38.50,49.30,110.10,136.90,166.80,213.60
Female,51 years and over,24.90,30.70,38.20,45.70,107.90,133.00,165.50,198.00
