Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.90,20.90,24.60,29.70,73.20,90.60,106.60,128.70
Child,2 years,16.90,20.80,24.50,29.80,73.20,90.10,106.20,129.10
Child,3-5 years,18.40,22.90,28.30,33.90,79.70,99.20,122.60,146.90
Child,6-8 years,23.00,30.60,37.90,44.10,99.70,132.60,164.20,191.10
Child,9-11 years,27.10,34.60,44.20,51.20,117.40,149.90,191.50,221.80
Male,12-14 years,28.10,39.10,48.40,56.90,121.80,169.40,209.70,246.50
Male,15-19 years,29.10,40.30,50.20,58.10,126.10,174.60,217.50,251.70
Male,20-50 years,31.10,40.30,50.10,60.90,134.80,174.60,217.10,263.90
Male,51 years and over,28.20,38.40,47.20,56.60,122.20,166.40,204.50,245.20
Female,12-19 years,28.10,33.60,40.80,49.30,121.80,145.60,176.80,213.60
Female,20-50 years,28.10,35.10,42.80,55.00,121.80,152.10,185.50,238.30
Female,51 years and over,27.60,34.10,42.40,50.70,119.60,147.80,183.70,219.70
