Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,$21.80,$29.30,$33.10,$40.30,$94.30,$127.10,$143.50,$174.50
Child,2-3 years,$23.80,$30.50,$36.70,$44.80,$103.30,$132.20,$159.00,$194.10
Child,4-5 years,$25.10,$31.50,$39.10,$47.50,$108.60,$136.50,$169.50,$206.00
Child,6-8 years,$32.20,$45.10,$53.60,$63.10,$139.40,$195.60,$232.30,$273.40
Child,9-11 years,$36.10,$47.70,$62.00,$72.00,$156.60,$206.50,$268.40,$311.90
Male,12-13 years,$38.90,$55.20,$69.20,$81.00,$168.40,$239.00,$299.70,$351.00
Male,14-18 years,$39.90,$55.80,$71.40,$82.00,$172.80,$242.00,$309.20,$355.40
Male,19-50 years,$43.10,$55.70,$70.00,$86.10,$186.60,$241.30,$303.40,$373.20
Male,51-70 years,$39.20,$52.40,$65.70,$78.90,$170.00,$227.20,$284.70,$342.10
Male,71+ years,$39.60,$52.10,$64.50,$79.90,$171.40,$225.60,$279.30,$346.10
Female,12-13 years,$38.80,$47.30,$57.00,$70.20,$168.10,$205.10,$247.20,$304.20
Female,14-18 years,$38.10,$47.60,$57.70,$71.00,$165.00,$206.10,$250.00,$307.70
Female,19-50 years,$38.20,$48.30,$59.70,$76.00,$165.40,$209.20,$258.80,$329.20
Female,51-70 years,$37.70,$47.00,$58.50,$70.40,$163.40,$203.80,$253.50,$305.20
Female,71+ years,$36.80,$46.70,$57.90,$69.60,$159.60,$202.30,$250.80,$301.70
