Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.30,26.70,30.60,36.80,87.90,115.70,132.70,159.60
Child,2-3 years,21.80,27.30,33.00,40.10,94.50,118.10,143.20,173.90
Child,4-5 years,22.50,28.50,35.20,42.80,97.60,123.60,152.70,185.40
Child,6-8 years,28.80,38.90,47.90,56.20,124.90,168.60,207.30,243.50
Child,9-11 years,33.10,43.20,55.50,65.00,143.30,187.20,240.30,281.80
Male,12-13 years,35.30,49.60,61.50,72.50,153.00,215.10,266.60,314.00
Male,14-18 years,36.70,51.40,63.90,73.30,158.90,222.60,277.00,317.70
Male,19-50 years,39.20,50.50,63.10,77.10,169.90,218.60,273.50,334.20
Male,51-70 years,35.90,47.80,58.60,70.80,155.50,207.00,253.70,306.80
Male,71+ years,36.00,47.20,58.50,71.90,155.90,204.40,253.70,311.70
Female,12-13 years,35.40,43.10,51.60,62.70,153.40,186.80,223.40,271.90
Female,14-18 years,35.00,43.30,52.10,64.10,151.70,187.60,225.90,278.00
Female,19-50 years,34.80,43.80,53.90,69.00,150.70,189.80,233.40,298.90
Female,51-70 years,34.50,42.80,53.10,63.00,149.60,185.40,230.00,273.20
Female,71+ years,33.80,42.30,52.60,63.20,146.40,183.40,228.10,274.00
