Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.80,23.80,27.50,33.80,81.30,103.10,119.20,146.60
Child,2 years,18.70,23.30,27.80,33.40,81.20,101.00,120.60,144.80
Child,3-5 years,20.70,25.50,31.50,38.40,89.70,110.60,136.30,166.50
Child,6-8 years,26.30,34.80,42.90,50.20,114.00,150.70,186.10,217.50
Child,9-11 years,30.70,39.00,49.90,58.40,132.90,169.00,216.10,253.00
Male,12-14 years,31.90,44.00,54.20,64.80,138.10,190.60,235.00,280.70
Male,15-19 years,33.30,45.60,56.40,66.00,144.30,197.60,244.50,286.20
Male,20-50 years,35.40,45.30,56.40,69.00,153.40,196.30,244.40,299.00
Male,51 years and over,32.40,43.20,53.20,64.30,140.30,187.20,230.50,278.70
Female,12-19 years,31.70,38.30,46.10,56.10,137.50,165.80,199.60,243.30
Female,20-50 years,31.90,39.60,48.30,62.30,138.20,171.60,209.30,270.10
Female,51 years and over,31.40,38.40,47.80,57.70,136.20,166.40,207.10,249.90
