Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.60,19.20,22.50,27.30,67.60,83.20,97.50,118.30
Child,3-5 years,16.90,21.00,25.90,31.10,73.20,91.00,112.20,134.80
Child,6-8 years,20.90,27.90,34.60,40.30,90.60,120.90,149.90,174.60
Child,9-11 years,24.80,31.60,40.30,46.70,107.50,136.90,174.60,202.40
Male,12-14 years,25.60,35.60,44.10,51.80,110.90,154.30,191.10,224.40
Male,15-19 years,26.30,36.60,45.60,52.60,114.00,158.60,197.60,227.90
Male,20-50 years,28.30,36.40,45.30,54.90,122.60,157.70,196.30,237.90
Male,51 years and over,25.40,34.70,42.80,51.30,110.10,150.40,185.50,222.30
Female,12-19 years,25.50,30.70,37.30,45.00,110.50,133.00,161.60,195.00
Female,20-50 years,25.60,31.80,38.80,49.70,110.90,137.80,168.10,215.40
Female,51 years and over,25.10,31.00,38.50,46.10,108.80,134.30,166.80,199.80
