Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.20,28.00,32.00,38.90,91.80,121.50,138.70,168.40
Child,2-3 years,22.90,29.10,35.00,42.60,99.10,125.90,151.80,184.70
Child,4-5 years,23.90,30.10,37.20,45.10,103.70,130.60,161.30,195.50
Child,6-8 years,30.30,41.30,50.50,59.40,131.20,179.10,218.90,257.30
Child,9-11 years,34.70,45.50,58.60,68.50,150.40,197.10,253.90,297.00
Male,12-13 years,37.10,52.30,64.90,76.50,160.80,226.50,281.40,331.40
Male,14-18 years,38.70,53.70,67.00,77.40,167.60,232.90,290.50,335.40
Male,19-50 years,41.20,53.00,66.00,80.90,178.50,229.60,286.00,350.60
Male,51-70 years,37.80,50.20,61.60,74.60,163.60,217.60,266.80,323.30
Male,71+ years,37.70,49.80,61.40,75.00,163.30,215.70,265.80,325.00
Female,12-13 years,37.10,45.40,54.40,66.20,160.80,196.50,235.60,287.00
Female,14-18 years,36.70,45.30,54.40,67.00,159.20,196.30,235.70,290.30
Female,19-50 years,36.60,46.00,56.40,72.50,158.70,199.30,244.50,313.90
Female,51-70 years,36.30,45.00,55.70,66.80,157.30,194.80,241.20,289.40
Female,71+ years,35.30,44.50,55.20,66.40,153.10,192.80,239.20,287.70
