Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.50,26.30,31.60,77.50,97.40,113.90,136.80
Child,2 years,17.90,22.20,26.40,32.00,77.60,96.30,114.40,138.60
Child,3-5 years,19.70,24.50,30.30,36.30,85.50,106.10,131.10,157.40
Child,6-8 years,24.80,33.00,40.70,47.60,107.50,142.80,176.40,206.20
Child,9-11 years,29.10,37.20,47.50,55.10,126.10,161.10,205.80,238.80
Male,12-14 years,30.40,42.00,52.10,61.20,131.60,182.00,225.90,265.10
Male,15-19 years,31.30,43.30,54.10,62.80,135.80,187.60,234.60,272.10
Male,20-50 years,33.50,43.20,53.90,65.70,145.30,187.40,233.40,284.90
Male,51 years and over,30.40,41.10,50.70,60.80,131.80,178.00,219.80,263.60
Female,12-19 years,30.30,36.20,44.10,53.10,131.50,157.00,191.30,230.00
Female,20-50 years,30.30,37.60,46.00,59.20,131.50,163.00,199.50,256.70
Female,51 years and over,29.80,36.60,45.60,54.60,128.90,158.40,197.70,236.40
