Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.00,21.20,24.80,30.10,73.70,91.90,107.50,130.40
Child,2 years,17.00,21.00,24.70,30.10,73.70,91.00,107.00,130.40
Child,3-5 years,18.60,23.10,28.50,34.30,80.60,100.10,123.50,148.60
Child,6-8 years,23.20,30.90,38.20,44.50,100.50,133.90,165.50,192.80
Child,9-11 years,27.30,34.90,44.50,51.70,118.30,151.20,192.80,224.00
Male,12-14 years,28.30,39.40,48.70,57.40,122.60,170.70,211.00,248.70
Male,15-19 years,29.30,40.60,50.60,58.60,127.00,175.90,219.20,253.90
Male,20-50 years,31.30,40.50,50.40,61.30,135.60,175.50,218.40,265.60
Male,51 years and over,28.40,38.60,47.40,57.00,123.10,167.30,205.40,247.00
Female,12-19 years,28.30,34.00,41.20,49.80,122.60,147.30,178.50,215.80
Female,20-50 years,28.30,35.30,43.10,55.40,122.60,153.00,186.80,240.00
Female,51 years and over,27.80,34.30,42.70,51.10,120.50,148.60,185.00,221.40
