Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.80,27.60,31.60,38.10,90.00,119.50,136.80,164.90
Child,2-3 years,22.20,27.90,33.70,41.10,96.20,120.70,146.20,178.00
Child,4-5 years,23.00,29.20,36.00,43.70,99.80,126.30,156.10,189.40
Child,6-8 years,29.40,39.60,48.70,57.20,127.30,171.50,211.20,248.10
Child,9-11 years,34.00,44.00,56.70,66.50,147.20,190.70,245.50,288.10
Male,12-13 years,36.00,50.40,62.60,73.80,156.00,218.50,271.20,319.80
Male,14-18 years,37.50,52.30,65.10,74.80,162.50,226.60,282.00,323.90
Male,19-50 years,40.10,51.50,64.30,78.60,173.80,223.10,278.60,340.60
Male,51-70 years,36.80,48.80,59.60,72.30,159.30,211.50,258.40,313.20
Male,71+ years,36.80,48.20,59.90,73.50,159.30,208.90,259.40,318.60
Female,12-13 years,36.10,44.00,52.80,63.90,156.50,190.80,228.60,277.00
Female,14-18 years,35.80,44.30,53.20,65.50,155.20,191.80,230.70,283.90
Female,19-50 years,35.60,44.80,55.00,70.60,154.10,194.10,238.50,305.80
Female,51-70 years,35.30,43.70,54.20,64.50,153.20,189.50,234.90,279.30
Female,71+ years,34.70,43.30,54.00,64.90,150.40,187.50,233.80,281.00
