Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.50,19.00,22.30,27.10,67.20,82.30,96.60,117.40
Child,3-5 years,16.80,20.80,25.70,30.80,72.80,90.10,111.40,133.50
Child,6-8 years,20.70,27.70,34.40,40.00,89.70,120.00,149.10,173.30
Child,9-11 years,24.60,31.40,40.00,46.30,106.60,136.10,173.30,200.60
Male,12-14 years,25.40,35.40,43.80,51.40,110.10,153.40,189.80,222.70
Male,15-19 years,26.10,36.30,45.30,52.20,113.10,157.30,196.30,226.20
Male,20-50 years,28.00,36.00,44.80,54.30,121.30,156.00,194.10,235.30
Male,51 years and over,25.20,34.30,42.20,50.60,109.20,148.60,182.90,219.20
Female,12-19 years,25.40,30.50,37.00,44.70,110.10,132.20,160.30,193.70
Female,20-50 years,25.30,31.50,38.30,49.00,109.60,136.50,166.00,212.30
Female,51 years and over,24.80,30.60,38.00,45.50,107.50,132.60,164.70,197.20
