Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.20,23.00,26.80,32.50,78.90,99.40,116.00,140.70
Child,2 years,18.20,22.60,27.10,32.50,78.70,97.90,117.30,140.80
Child,3-5 years,20.10,24.80,30.70,37.10,87.10,107.60,133.00,160.60
Child,6-8 years,25.40,33.60,41.50,48.50,110.00,145.70,179.90,210.10
Child,9-11 years,29.70,37.80,48.50,56.40,128.60,163.80,210.00,244.40
Male,12-14 years,30.90,42.70,52.80,62.60,134.00,185.00,228.70,271.10
Male,15-19 years,32.20,44.20,55.00,64.10,139.40,191.50,238.20,277.60
Male,20-50 years,34.20,44.00,54.90,67.10,148.30,190.70,237.80,290.70
Male,51 years and over,31.30,42.00,51.70,62.40,135.70,181.90,224.10,270.40
Female,12-19 years,30.80,37.10,44.80,54.30,133.60,160.60,194.20,235.30
Female,20-50 years,30.90,38.40,47.00,60.60,134.10,166.60,203.50,262.50
Female,51 years and over,30.50,37.30,46.50,56.00,132.20,161.70,201.50,242.80
