Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.00,21.00,25.50,64.00,78.00,91.10,110.30
Child,3-5 years,16.00,19.70,24.30,29.20,69.30,85.50,105.40,126.50
Child,6-8 years,19.60,26.10,32.60,37.90,85.10,113.20,141.20,164.00
Child,9-11 years,23.30,29.70,37.90,44.00,101.10,128.50,164.00,190.50
Male,12-14 years,24.10,33.50,41.50,48.80,104.40,145.20,179.70,211.60,FEMALE:,24.20,28.90,34.90,42.20,104.90,125.00,151.30,182.70
Male,15-19 years,25.00,34.50,42.90,49.70,108.20,149.70,185.90,215.20,12-19 years,24.20,29.90,36.20,46.30,104.80,129.50,157.00,200.50
Male,20-50 years,26.80,34.10,42.60,51.50,116.20,147.90,184.60,223.30,20-50 years,23.80,29.00,35.90,42.90,102.90,125.50,155.40,186.00
Female,12-19 years,24.20,28.90,34.90,42.20,104.90,125.00,151.30,182.70
Female,20-50 years,24.20,29.90,36.20,46.30,104.80,129.50,157.00,200.50
Female,51 years and over,23.80,29.00,35.90,42.90,102.90,125.50,155.40,186.00
