Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.80,22.40,26.20,31.30,77.10,97.00,113.50,135.60
Child,2 years,17.80,22.10,26.30,31.90,77.20,96.00,114.10,138.10
Child,3-5 years,19.70,24.50,30.20,36.20,85.40,106.00,130.90,156.90
Child,6-8 years,24.80,32.90,40.60,47.40,107.40,142.70,175.90,205.50
Child,9-11 years,29.10,37.10,47.40,55.10,125.90,160.70,205.60,238.50
Male,12-14 years,30.30,42.00,52.00,61.10,131.40,181.80,225.40,264.80
Male,15-19 years,31.40,43.30,54.10,62.70,135.80,187.40,234.40,271.80
Male,20-50 years,33.50,43.20,53.80,65.70,145.00,187.10,233.30,284.60
Male,51 years and over,30.40,41.00,50.70,60.80,131.70,177.80,219.50,263.40
Female,12-19 years,30.30,36.20,44.10,53.00,131.30,157.00,191.00,229.80
Female,20-50 years,30.30,37.60,46.00,59.20,131.30,162.80,199.30,256.40
Female,51 years and over,29.70,36.50,45.50,54.60,128.80,158.20,197.30,236.40
