Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.70,19.30,22.60,27.50,68.00,83.60,97.90,119.20
Child,2 years,15.60,19.30,22.60,27.50,67.60,83.60,97.90,119.20
Child,3-5 years,17.00,21.10,26.10,31.30,73.70,91.40,113.10,135.60
Child,6-8 years,21.00,28.10,34.90,40.60,91.00,121.80,151.20,175.90
Child,9-11 years,24.90,31.80,40.60,47.10,107.90,137.80,175.90,204.10
Male,12-14 years,25.70,35.90,44.50,52.30,111.40,155.60,192.80,226.60
Male,15-19 years,26.50,36.90,46.10,53.20,114.80,159.90,199.80,230.50
Male,20-50 years,28.40,36.80,45.80,55.60,123.10,159.50,198.50,240.90
Male,51 years and over,25.70,35.10,43.20,51.80,111.40,152.10,187.20,224.40
Female,12-19 years,25.80,31.00,37.60,45.40,111.80,134.30,162.90,196.70
Female,20-50 years,25.70,32.20,39.20,50.30,111.40,139.50,169.90,217.90
Female,51 years and over,25.30,31.30,38.90,46.60,109.60,135.60,168.60,201.90
