Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.50,21.70,25.40,31.30,75.80,94.00,110.10,135.60
Child,2 years,17.40,21.40,25.30,30.70,75.40,92.70,109.60,133.00
Child,3-5 years,19.00,23.50,29.10,35.20,82.30,101.80,126.10,152.50
Child,6-8 years,23.80,31.70,39.10,45.60,103.10,137.40,169.40,197.60
Child,9-11 years,27.90,35.60,45.40,52.90,120.90,154.30,196.70,229.20
Male,12-14 years,29.00,40.10,49.70,58.60,125.70,173.80,215.40,253.90
Male,15-19 years,29.90,41.30,51.70,60.00,129.60,179.00,224.00,260.00
Male,20-50 years,32.00,41.40,51.60,62.90,138.70,179.40,223.60,272.50
Male,51 years and over,29.20,39.50,48.70,58.50,126.50,171.20,211.00,253.50
Female,12-19 years,29.00,34.70,42.20,50.80,125.70,150.40,182.90,220.10
Female,20-50 years,29.10,36.20,44.20,57.00,126.10,156.90,191.50,247.00
Female,51 years and over,28.60,35.10,43.80,52.50,123.90,152.10,189.80,227.50
