Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.50,21.70,25.50,31.30,75.80,94.00,110.50,135.60
Child,2 years,17.40,21.40,25.30,30.70,75.40,92.70,109.60,133.00
Child,3-5 years,19.00,23.50,29.10,35.20,82.30,101.80,126.10,152.50
Child,6-8 years,23.80,31.70,39.00,45.40,103.10,137.40,169.00,196.70
Child,9-11 years,27.80,35.50,45.40,52.90,120.50,153.80,196.70,229.20
Male,12-14 years,28.90,40.10,49.60,58.50,125.20,173.80,214.90,253.50
Male,15-19 years,29.90,41.30,51.60,60.00,129.60,179.00,223.60,260.00
Male,20-50 years,31.90,41.30,51.60,62.90,138.20,179.00,223.60,272.50
Male,51 years and over,29.20,39.50,48.60,58.50,126.50,171.20,210.60,253.50
Female,12-19 years,28.90,34.70,42.10,50.80,125.20,150.40,182.40,220.10
Female,20-50 years,29.00,36.10,44.10,57.00,125.70,156.40,191.10,247.00
Female,51 years and over,28.60,35.10,43.70,52.60,123.90,152.10,189.40,227.90
