Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.30,26.30,31.80,77.60,96.80,113.90,137.90
Child,2 years,17.80,22.10,26.50,31.80,77.30,95.80,114.80,138.00
Child,3-5 years,19.70,24.30,30.10,36.20,85.20,105.20,130.40,156.90
Child,6-8 years,24.60,32.70,40.30,47.00,106.80,141.60,174.60,203.80
Child,9-11 years,28.80,36.70,47.20,54.80,124.70,159.10,204.30,237.30
Male,12-14 years,30.10,41.50,51.40,60.80,130.30,179.70,222.70,263.20
Male,15-19 years,31.10,42.70,53.60,62.40,134.80,185.10,232.00,270.30
Male,20-50 years,33.20,42.90,53.60,65.50,144.00,185.70,232.40,283.80
Male,51 years and over,30.50,41.10,50.60,60.90,132.20,178.00,219.20,263.90
Female,12-19 years,30.00,36.00,43.80,52.80,130.20,156.00,189.80,228.70
Female,20-50 years,30.10,37.50,45.80,59.10,130.30,162.40,198.60,256.30
Female,51 years and over,29.80,36.50,45.50,54.70,129.20,158.10,197.20,237.10
