Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.40,17.70,20.70,25.10,62.50,76.60,89.60,108.80
Child,3-5 years,15.60,19.30,23.80,28.50,67.60,83.50,103.20,123.70
Child,6-8 years,19.20,25.60,31.90,37.00,83.00,110.90,138.10,160.50
Child,9-11 years,22.80,29.10,37.10,43.00,98.70,125.90,160.90,186.20
Male,12-14 years,23.60,32.80,40.70,47.80,102.10,142.20,176.30,207.30
Male,15-19 years,24.30,33.80,42.00,48.70,105.50,146.40,182.20,210.90
Male,20-50 years,26.20,33.60,41.90,50.80,113.70,145.40,181.60,220.30
Male,51 years and over,23.70,32.00,39.40,47.30,102.50,138.80,170.80,204.90
Female,12-19 years,23.60,28.30,34.30,41.40,102.20,122.60,148.60,179.50
Female,20-50 years,23.60,29.40,35.80,45.90,102.30,127.50,155.00,198.70
Female,51 years and over,23.30,28.50,35.40,42.40,100.80,123.70,153.50,183.60
