Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,22.00,29.30,33.20,40.70,95.20,127.00,143.80,176.20
Child,2-3 years,23.90,30.70,37.00,45.00,103.70,133.20,160.20,195.10
Child,4-5 years,25.30,31.70,39.30,48.00,109.40,137.40,170.30,207.90
Child,6-8 years,32.00,44.60,53.70,63.60,138.80,193.30,232.60,275.50
Child,9-11 years,36.20,48.30,62.20,72.40,157.00,209.10,269.40,313.90
Male,12-13 years,38.90,55.00,69.00,81.00,168.60,238.50,299.00,351.00
Male,14-18 years,40.10,55.90,71.30,81.90,173.80,242.20,308.80,354.90
Male,19-50 years,43.20,55.70,69.90,86.00,187.20,241.50,302.70,372.40
Male,51-70 years,39.40,52.70,65.50,79.00,170.90,228.20,284.00,342.20
Male,71+ years,39.80,52.30,64.50,79.80,172.20,226.50,279.60,345.70
Female,12-13 years,39.00,47.60,57.30,70.30,169.10,206.50,248.10,304.40
Female,14-18 years,38.30,47.60,57.70,71.00,166.20,206.20,250.00,307.60
Female,19-50 years,38.40,48.40,59.70,76.40,166.60,209.80,258.80,330.90
Female,51-70 years,38.00,47.20,58.80,71.00,164.60,204.50,254.80,307.60
Female,71+ years,36.90,46.80,58.10,70.10,159.90,202.80,251.60,303.50
