Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.20,21.30,25.80,64.10,78.80,92.20,111.90
Child,3-5 years,16.00,19.90,24.60,29.50,69.40,86.20,106.60,127.70
Child,6-8 years,19.70,26.40,32.90,38.30,85.50,114.40,142.50,166.00
Child,9-11 years,23.40,30.00,38.30,44.40,101.60,129.90,166.10,192.30
Male,12-14 years,24.30,33.90,42.00,49.40,105.40,146.80,182.00,214.10,FEMALE:,24.20,29.20,35.40,42.80,105.00,126.60,153.60,185.70
Male,15-19 years,25.10,34.90,43.40,50.20,108.60,151.20,188.20,217.50,12-19 years,24.40,30.50,37.00,47.60,105.90,132.00,160.50,206.30
Male,20-50 years,27.10,34.70,43.30,52.50,117.40,150.50,187.80,227.70,20-50 years,24.10,29.60,36.70,43.90,104.30,128.20,159.20,190.40
Female,12-19 years,24.20,29.20,35.40,42.80,105.00,126.60,153.60,185.70
Female,20-50 years,24.40,30.50,37.00,47.60,105.90,132.00,160.50,206.30
Female,51 years and over,24.10,29.60,36.70,43.90,104.30,128.20,159.20,190.40
