Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.80,22.20,26.10,31.40,77.00,96.00,113.10,136.00
Child,2 years,17.70,21.90,26.20,31.70,76.80,95.10,113.60,137.20
Child,3-5 years,19.50,24.20,30.00,35.90,84.60,104.80,130.00,155.60
Child,6-8 years,24.40,32.40,40.10,46.80,105.70,140.50,173.60,202.70
Child,9-11 years,28.60,36.60,46.90,54.30,124.00,158.50,203.10,235.40
Male,12-14 years,29.90,41.30,51.40,60.20,129.50,179.10,222.60,261.00
Male,15-19 years,30.80,42.50,53.40,61.90,133.30,184.20,231.30,268.30
Male,20-50 years,32.90,42.60,53.20,64.90,142.60,184.70,230.50,281.30
Male,51 years and over,30.00,40.70,50.20,60.20,130.10,176.30,217.40,260.90
Female,12-19 years,29.90,35.70,43.60,52.30,129.60,154.70,189.00,226.70
Female,20-50 years,29.90,37.20,45.50,58.60,129.40,161.10,197.20,254.00
Female,51 years and over,29.40,36.20,45.20,54.00,127.60,156.80,195.70,234.10
