Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.70,29.00,32.80,40.40,94.20,125.80,142.30,175.20
Child,2-3 years,23.80,30.40,36.70,44.60,102.90,131.90,159.00,193.20
Child,4-5 years,25.10,31.50,39.00,47.80,108.60,136.50,168.80,207.00
Child,6-8 years,31.80,44.20,53.20,63.20,137.90,191.50,230.50,273.70
Child,9-11 years,36.00,48.10,61.60,71.90,155.80,208.20,267.00,311.50
Male,12-13 years,38.70,54.70,68.60,80.50,167.50,237.20,297.20,348.70
Male,14-18 years,39.90,55.70,70.70,81.40,172.70,241.20,306.30,352.90
Male,19-50 years,42.90,55.40,69.40,85.20,186.00,240.10,300.80,369.30
Male,51-70 years,39.20,52.30,65.00,78.50,169.70,226.70,281.60,340.00
Male,71+ years,39.40,51.90,64.00,79.00,170.90,224.90,277.20,342.10
Female,12-13 years,38.80,47.40,56.80,69.80,168.00,205.20,246.00,302.50
Female,14-18 years,38.10,47.30,57.20,70.40,165.10,204.90,247.80,305.20
Female,19-50 years,38.20,48.20,59.20,75.80,165.50,208.80,256.70,328.60
Female,51-70 years,37.70,46.90,58.40,70.50,163.40,203.30,252.90,305.70
Female,71+ years,36.60,46.50,57.70,69.50,158.50,201.50,249.90,301.20
