Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.60,19.20,22.60,27.40,67.60,83.20,97.90,118.70
Child,2 years,15.60,19.20,22.60,27.40,67.60,83.20,97.90,118.70
Child,3-5 years,16.90,21.00,26.00,31.20,73.20,91.00,112.70,135.20
Child,6-8 years,20.90,28.00,34.80,40.50,90.60,121.30,150.80,175.50
Child,9-11 years,24.80,31.70,40.50,46.90,107.50,137.40,175.50,203.20
Male,12-14 years,25.60,35.80,44.40,52.10,110.90,155.10,192.40,225.70
Male,15-19 years,26.40,36.80,45.90,52.90,114.40,159.50,198.90,229.20
Male,20-50 years,28.20,36.50,45.40,55.00,122.20,158.20,196.70,238.30
Male,51 years and over,25.50,34.70,42.80,51.30,110.50,150.40,185.50,222.30
Female,12-19 years,25.60,30.80,37.40,45.20,110.90,133.50,162.10,195.90
Female,20-50 years,25.50,31.80,38.80,49.70,110.50,137.80,168.10,215.40
Female,51 years and over,25.10,31.00,38.50,46.10,108.80,134.30,166.80,199.80
