Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.50,20.30,23.80,28.90,71.50,88.00,103.10,125.20
Child,2 years,16.50,20.30,23.80,28.90,71.50,88.00,103.10,125.20
Child,3-5 years,18.00,22.30,27.60,33.10,78.00,96.60,119.60,143.40
Child,6-8 years,22.40,29.70,37.00,43.00,97.10,128.70,160.30,186.30
Child,9-11 years,26.50,33.70,43.10,49.90,114.80,146.00,186.80,216.20
Male,12-14 years,27.40,38.10,47.10,55.50,118.70,165.10,204.10,240.50
Male,15-19 years,28.30,39.30,49.00,56.50,122.60,170.30,212.30,244.80
Male,20-50 years,30.30,39.20,48.70,59.00,131.30,169.90,211.00,255.60
Male,51 years and over,27.40,37.30,45.80,54.90,118.70,161.60,198.50,237.90
Female,12-19 years,27.40,32.80,39.80,48.00,118.70,142.10,172.50,208.00
Female,20-50 years,27.40,34.20,41.60,53.30,118.70,148.20,180.30,230.90
Female,51 years and over,26.80,33.20,41.10,49.10,116.10,143.90,178.10,212.80
