Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.70,28.90,32.80,39.90,93.90,125.40,142.20,172.80
Child,2-3 years,23.60,30.00,36.20,44.00,102.20,129.80,156.70,190.80
Child,4-5 years,24.60,31.10,38.50,46.60,106.70,134.60,166.70,202.10
Child,6-8 years,31.40,43.20,52.50,61.70,136.00,187.10,227.40,267.20
Child,9-11 years,35.80,46.90,60.70,70.90,155.00,203.40,263.10,307.00
Male,12-13 years,38.40,54.10,67.70,79.30,166.20,234.30,293.30,343.60
Male,14-18 years,39.60,55.30,70.00,80.00,171.80,239.50,303.30,346.80
Male,19-50 years,42.60,54.80,68.80,84.20,184.50,237.40,297.90,364.90
Male,51-70 years,38.90,51.80,64.40,77.30,168.60,224.40,279.00,335.10
Male,71+ years,39.20,51.30,63.60,78.50,169.90,222.30,275.70,340.20
Female,12-13 years,38.40,46.80,56.10,68.60,166.30,202.90,243.30,297.30
Female,14-18 years,37.80,46.90,56.70,69.70,163.80,203.30,245.70,302.10
Female,19-50 years,37.90,47.50,58.80,75.00,164.00,205.90,254.70,324.80
Female,51-70 years,37.50,46.50,57.90,69.20,162.60,201.50,250.90,299.80
Female,71+ years,36.60,46.10,57.20,68.80,158.40,199.70,247.90,298.20
