Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.70,24.30,29.40,72.40,89.70,105.30,127.40
Child,2 years,16.70,20.70,24.30,29.60,72.40,89.70,105.30,128.30
Child,3-5 years,18.30,22.70,28.10,33.60,79.30,98.40,121.80,145.60
Child,6-8 years,22.80,30.30,37.60,43.70,98.80,131.30,162.90,189.40
Child,9-11 years,26.90,34.30,43.90,50.80,116.60,148.60,190.20,220.10
Male,12-14 years,27.90,38.80,48.00,56.40,120.90,168.10,208.00,244.40
Male,15-19 years,28.80,40.00,49.90,57.60,124.80,173.30,216.20,249.60
Male,20-50 years,30.80,40.00,49.70,60.40,133.50,173.30,215.40,261.70
Male,51 years and over,28.00,38.00,46.80,56.20,121.30,164.70,202.80,243.50
Female,12-19 years,27.80,33.40,40.50,48.90,120.50,144.70,175.50,211.90
Female,20-50 years,27.90,34.90,42.50,54.60,120.90,151.20,184.20,236.60
Female,51 years and over,27.30,33.90,42.10,50.20,118.30,146.90,182.40,217.50
