Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.40,26.30,31.50,77.40,97.20,114.00,136.50
Child,2 years,17.80,22.20,26.50,31.90,77.30,96.10,114.80,138.30
Child,3-5 years,19.80,24.50,30.30,36.30,85.60,106.00,131.10,157.20
Child,6-8 years,24.80,32.90,40.50,47.30,107.40,142.50,175.70,205.10
Child,9-11 years,29.00,37.00,47.50,55.10,125.70,160.30,205.80,238.70
Male,12-14 years,30.30,41.80,51.90,61.10,131.30,181.20,225.00,264.60
Male,15-19 years,31.30,43.20,54.10,62.80,135.80,187.00,234.40,272.20
Male,20-50 years,33.40,43.20,54.00,65.90,144.90,187.10,233.90,285.40
Male,51 years and over,30.60,41.20,50.80,61.10,132.40,178.50,220.30,264.70
Female,12-19 years,30.30,36.20,44.10,53.10,131.20,157.00,191.00,230.00
Female,20-50 years,30.30,37.70,46.10,59.40,131.30,163.20,199.80,257.50
Female,51 years and over,29.90,36.60,45.70,54.90,129.40,158.70,198.00,237.70
