Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.90,26.40,30.20,36.40,86.10,114.50,130.90,157.90
Child,2-3 years,21.50,27.20,32.80,40.00,93.20,117.70,142.20,173.30
Child,4-5 years,22.40,28.20,35.00,42.40,96.90,122.40,151.50,183.60
Child,6-8 years,28.50,38.90,47.60,55.80,123.70,168.70,206.30,241.90
Child,9-11 years,32.60,42.60,55.20,64.40,141.30,184.50,239.20,279.00
Male,12-13 years,34.80,49.10,61.10,71.90,150.90,212.80,264.90,311.70
Male,14-18 years,36.00,50.50,63.20,72.60,156.10,218.80,273.90,314.60
Male,19-50 years,38.60,49.80,62.30,76.40,167.30,215.90,270.00,331.00
Male,51-70 years,35.30,47.10,58.10,70.10,152.80,203.90,251.70,303.80
Male,71+ years,35.40,46.60,57.80,71.00,153.50,201.90,250.60,307.50
Female,12-13 years,34.80,42.40,51.10,62.20,150.90,183.90,221.50,269.50
Female,14-18 years,34.40,42.60,51.40,63.10,148.90,184.70,222.70,273.60
Female,19-50 years,34.30,43.20,53.20,68.10,148.60,187.10,230.50,295.00
Female,51-70 years,33.90,42.10,52.30,62.50,147.10,182.40,226.50,270.70
Female,71+ years,33.30,41.70,51.80,62.30,144.20,180.60,224.60,270.10
