Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.00,22.90,26.60,31.80,78.10,99.10,115.10,137.90
Child,2 years,18.10,22.60,26.80,32.50,78.60,97.90,116.20,140.70
Child,3-5 years,20.10,24.90,30.70,37.00,87.00,107.90,132.90,160.10
Child,6-8 years,25.50,33.80,41.80,48.80,110.30,146.50,181.00,211.50
Child,9-11 years,30.00,38.10,48.60,56.70,129.80,165.20,210.50,245.60
Male,12-14 years,31.10,43.10,53.20,62.90,134.90,186.90,230.40,272.70
Male,15-19 years,32.40,44.60,55.20,64.30,140.30,193.40,239.30,278.50
Male,20-50 years,34.50,44.20,54.90,67.20,149.40,191.50,237.90,291.10
Male,51 years and over,31.10,41.80,51.60,62.20,134.80,181.30,223.60,269.50
Female,12-19 years,31.00,37.20,44.90,54.40,134.20,161.10,194.50,235.90
Female,20-50 years,31.10,38.40,46.80,60.30,134.60,166.20,203.00,261.40
Female,51 years and over,30.30,37.20,46.30,55.60,131.40,161.20,200.70,241.10
