Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.50,24.10,29.10,72.40,88.80,104.40,126.10
Child,2 years,16.70,20.50,24.10,29.10,72.40,88.80,104.40,126.10
Child,3-5 years,18.20,22.50,27.80,33.30,78.90,97.50,120.50,144.30
Child,6-8 years,22.70,29.90,37.30,43.40,98.40,129.60,161.60,188.10
Child,9-11 years,26.80,34.00,43.50,50.20,116.10,147.30,188.50,217.50
Male,12-14 years,27.80,38.40,47.60,56.00,120.50,166.40,206.30,242.60
Male,15-19 years,28.80,39.70,49.40,57.00,124.80,172.00,214.10,247.00
Male,20-50 years,30.70,39.60,49.30,59.70,133.00,171.60,213.60,258.70
Male,51 years and over,27.80,37.70,46.30,55.60,120.50,163.40,200.60,240.90
Female,12-19 years,27.80,33.10,40.20,48.60,120.50,143.40,174.20,210.60
Female,20-50 years,27.70,34.60,42.20,54.20,120.00,149.90,182.90,234.80
Female,51 years and over,27.20,33.70,41.70,49.80,117.90,146.00,180.70,215.80
