Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.60,20.30,23.90,28.90,71.90,88.00,103.60,125.20
Child,2 years,16.60,20.30,23.90,28.90,71.90,88.00,103.60,125.20
Child,3-5 years,18.10,22.30,27.60,33.10,78.40,96.60,119.60,143.40
Child,6-8 years,22.60,29.70,37.00,43.10,97.90,128.70,160.30,186.80
Child,9-11 years,26.70,33.70,43.20,49.90,115.70,146.00,187.20,216.20
Male,12-14 years,27.70,38.20,47.30,55.60,120.00,165.50,205.00,240.90
Male,15-19 years,28.70,39.40,49.10,56.70,124.40,170.70,212.80,245.70
Male,20-50 years,30.60,39.30,48.90,59.20,132.60,170.30,211.90,256.50
Male,51 years and over,27.60,37.40,45.90,55.10,119.60,162.10,198.90,238.70
Female,12-19 years,27.70,32.90,39.90,48.10,120.00,142.60,172.90,208.40
Female,20-50 years,27.60,34.30,41.70,53.50,119.60,148.60,180.70,231.80
Female,51 years and over,26.90,33.30,41.30,49.30,116.60,144.30,179.00,213.60
