Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.50,20.30,23.80,28.90,71.50,88.00,103.10,125.20
Child,2 years,16.40,20.30,23.80,28.90,71.10,88.00,103.10,125.20
Child,3-5 years,17.90,22.20,27.50,32.90,77.60,96.20,119.20,142.60
Child,6-8 years,22.10,29.60,36.80,42.90,95.80,128.30,159.50,185.90
Child,9-11 years,26.10,33.50,42.90,49.70,113.10,145.20,185.90,215.40
Male,12-14 years,27.10,37.90,47.00,55.30,117.40,164.20,203.70,239.60
Male,15-19 years,27.80,39.10,48.70,56.20,120.50,169.40,211.00,243.50
Male,20-50 years,29.80,38.80,48.40,58.50,129.10,168.10,209.70,253.50
Male,51 years and over,27.10,36.90,45.40,54.50,117.40,159.90,196.70,236.10
Female,12-19 years,27.10,32.70,39.70,47.90,117.40,141.70,172.00,207.60
Female,20-50 years,27.10,33.90,41.30,52.90,117.40,146.90,179.00,229.20
Female,51 years and over,26.60,33.10,41.00,48.90,115.30,143.40,177.70,211.90
