Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.10,26.60,30.50,36.70,87.30,115.20,132.10,158.90
Child,2-3 years,21.70,27.20,32.90,40.00,94.10,117.70,142.70,173.30
Child,4-5 years,22.40,28.40,35.10,42.70,97.20,123.10,152.10,184.90
Child,6-8 years,28.70,38.80,47.70,56.10,124.20,168.00,206.90,243.00
Child,9-11 years,32.90,43.00,55.30,64.80,142.50,186.40,239.80,280.70
Male,12-13 years,35.10,49.30,61.30,72.10,152.00,213.60,265.40,312.60
Male,14-18 years,36.30,50.90,63.60,72.90,157.30,220.40,275.70,315.70
Male,19-50 years,38.90,50.10,62.80,76.90,168.60,217.20,272.20,333.10
Male,51-70 years,35.60,47.50,58.30,70.50,154.30,205.70,252.70,305.30
Male,71+ years,35.80,46.90,58.40,71.70,155.10,203.40,252.90,310.70
Female,12-13 years,35.20,42.80,51.40,62.40,152.60,185.50,222.50,270.50
Female,14-18 years,34.80,43.00,52.00,63.80,150.60,186.40,225.30,276.50
Female,19-50 years,34.60,43.50,53.70,68.70,149.80,188.50,232.60,297.70
Female,51-70 years,34.30,42.50,52.80,62.70,148.50,184.00,228.70,271.90
Female,71+ years,33.60,42.10,52.30,63.00,145.70,182.30,226.80,272.80
