Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.70,27.50,31.50,38.40,89.80,119.00,136.30,166.40
Child,2-3 years,22.10,28.00,33.80,41.00,95.80,121.20,146.50,177.80
Child,4-5 years,23.20,29.30,36.00,44.10,100.50,127.00,156.10,191.30
Child,6-8 years,29.40,39.50,48.60,57.60,127.30,171.20,210.70,249.40
Child,9-11 years,34.10,44.60,56.50,66.80,147.70,193.10,244.90,289.30
Male,12-13 years,36.00,50.30,62.40,73.80,156.10,218.10,270.30,319.70
Male,14-18 years,37.90,52.50,65.00,75.20,164.10,227.40,281.70,326.00
Male,19-50 years,40.40,51.70,64.40,78.40,175.20,223.90,278.90,339.80
Male,51-70 years,37.10,49.10,59.80,72.50,160.60,212.90,259.20,314.10
Male,71+ years,37.00,48.60,60.00,73.30,160.20,210.50,259.90,317.40
Female,12-13 years,36.20,44.40,52.80,64.20,157.00,192.20,228.70,278.20
Female,14-18 years,36.10,44.30,53.20,65.40,156.30,192.10,230.40,283.50
Female,19-50 years,35.90,45.10,55.00,70.90,155.60,195.60,238.30,307.20
Female,51-70 years,35.70,44.00,54.60,65.10,154.80,190.70,236.40,282.10
Female,71+ years,34.70,43.50,54.30,65.20,150.40,188.60,235.20,282.50
