Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.80,27.60,31.50,38.40,90.20,119.50,136.60,166.30
Child,2-3 years,22.20,28.00,33.90,41.10,96.10,121.30,146.70,178.20
Child,4-5 years,23.20,29.30,36.10,44.10,100.60,127.10,156.40,191.20
Child,6-8 years,29.50,39.70,48.80,57.60,127.70,172.10,211.40,249.70
Child,9-11 years,34.10,44.50,56.70,66.80,147.90,192.90,245.70,289.60
Male,12-13 years,36.10,50.50,62.60,74.00,156.30,218.80,271.20,320.40
Male,14-18 years,37.80,52.60,65.20,75.30,163.90,227.70,282.50,326.40
Male,19-50 years,40.40,51.80,64.50,78.70,175.10,224.20,279.60,341.20
Male,51-70 years,37.10,49.20,59.90,72.60,160.60,213.00,259.40,314.70
Male,71+ years,37.00,48.60,60.10,73.60,160.30,210.50,260.30,318.80
Female,12-13 years,36.30,44.40,52.90,64.30,157.30,192.20,229.20,278.70
Female,14-18 years,36.10,44.40,53.40,65.70,156.30,192.50,231.30,284.60
Female,19-50 years,35.90,45.10,55.10,71.00,155.40,195.60,238.90,307.60
Female,51-70 years,35.70,44.00,54.50,65.00,154.50,190.80,236.30,281.80
Female,71+ years,34.80,43.60,54.30,65.30,150.70,188.70,235.30,282.80
