Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.10,18.60,21.80,26.50,65.40,80.60,94.50,114.80
Child,3-5 years,16.40,20.40,25.20,30.20,71.10,88.40,109.20,130.90
Child,6-8 years,20.30,27.10,33.70,39.20,88.00,117.40,146.00,169.90
Child,9-11 years,24.10,30.70,39.30,45.50,104.40,133.00,170.30,197.20
Male,12-14 years,25.00,34.70,43.00,50.60,108.30,150.40,186.30,219.20
Male,15-19 years,25.70,35.70,44.50,51.50,111.40,154.70,192.80,223.10
Male,20-50 years,27.70,35.60,44.40,53.80,120.00,154.30,192.40,233.10
Male,51 years and over,25.00,33.90,41.80,50.20,108.30,146.90,181.10,217.50
Female,12-19 years,24.80,29.90,36.30,43.90,107.50,129.60,157.30,190.20
Female,20-50 years,25.00,31.10,37.90,48.60,108.30,134.80,164.20,210.60
Female,51 years and over,24.50,30.20,37.60,45.00,106.20,130.90,162.90,195.00
