Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.20,21.30,25.00,30.40,74.50,92.30,108.30,131.70
Child,2 years,17.10,21.10,24.90,30.30,74.10,91.40,107.90,131.30
Child,3-5 years,18.70,23.20,28.70,34.50,81.00,100.50,124.40,149.50
Child,6-8 years,23.40,31.10,38.40,44.70,101.40,134.80,166.40,193.70
Child,9-11 years,27.40,35.00,44.80,52.00,118.70,151.70,194.10,225.30
Male,12-14 years,28.50,39.60,49.00,57.60,123.50,171.60,212.30,249.60
Male,15-19 years,29.40,40.80,51.00,59.00,127.40,176.80,221.00,255.60
Male,20-50 years,31.40,40.80,50.80,61.80,136.10,176.80,220.10,267.80
Male,51 years and over,28.60,38.90,47.90,57.40,123.90,168.60,207.60,248.70
Female,12-19 years,28.50,34.20,41.50,50.00,123.50,148.20,179.80,216.70
Female,20-50 years,28.50,35.60,43.50,56.00,123.50,154.30,188.50,242.60
Female,51 years and over,28.00,34.60,43.00,51.50,121.30,149.90,186.30,223.10
