Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.70,29.00,32.70,40.20,93.90,125.50,141.90,174.30
Child,2-3 years,23.70,30.30,36.50,44.40,102.60,131.10,158.20,192.50
Child,4-5 years,24.90,31.40,38.70,47.40,108.00,135.90,167.90,205.50
Child,6-8 years,31.70,43.80,52.90,62.70,137.20,189.80,229.30,271.70
Child,9-11 years,35.80,47.70,61.30,71.40,155.30,206.70,265.60,309.60
Male,12-13 years,38.50,54.50,68.30,80.00,167.00,236.10,295.90,346.80
Male,14-18 years,39.70,55.50,70.40,80.90,172.20,240.40,305.10,350.40
Male,19-50 years,42.80,55.20,69.20,84.90,185.50,239.10,299.80,367.70
Male,51-70 years,39.00,52.10,64.80,78.10,169.10,225.60,280.70,338.20
Male,71+ years,39.40,51.70,63.80,78.70,170.50,223.90,276.40,341.10
Female,12-13 years,38.60,47.10,56.50,69.40,167.50,204.30,244.80,300.50
Female,14-18 years,37.90,47.10,57.00,70.20,164.40,204.30,247.00,304.00
Female,19-50 years,38.10,48.00,59.10,75.50,165.00,207.80,255.90,327.20
Female,51-70 years,37.60,46.70,58.20,70.10,162.80,202.60,252.10,303.60
Female,71+ years,36.50,46.40,57.50,69.20,158.20,200.90,249.00,299.80
