Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.70,26.50,31.70,77.80,98.40,114.60,137.60
Child,2 years,18.00,22.50,26.70,32.30,78.10,97.30,115.60,140.00
Child,3-5 years,19.90,24.70,30.50,36.70,86.30,107.00,132.00,158.90
Child,6-8 years,25.20,33.40,41.30,48.20,109.10,144.80,179.10,209.00
Child,9-11 years,29.60,37.70,48.10,56.10,128.30,163.30,208.50,243.00
Male,12-14 years,30.80,42.60,52.60,62.20,133.30,184.70,228.10,269.60
Male,15-19 years,31.90,44.10,54.70,63.70,138.40,191.10,237.10,275.80
Male,20-50 years,34.10,43.80,54.50,66.60,147.60,189.70,236.00,288.60
Male,51 years and over,30.80,41.50,51.20,61.70,133.70,179.90,221.90,267.40
Female,12-19 years,30.60,36.80,44.40,53.90,132.70,159.30,192.60,233.60
Female,20-50 years,30.70,38.00,46.50,59.90,133.20,164.80,201.40,259.40
Female,51 years and over,30.10,36.90,46.00,55.20,130.30,160.00,199.20,239.20
