Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.20,23.10,26.90,32.30,78.70,100.00,116.50,140.10
Child,2 years,18.20,22.80,27.20,32.80,79.00,98.80,118.00,142.00
Child,3-5 years,20.30,25.10,30.90,37.40,87.80,108.70,134.00,161.90
Child,6-8 years,25.80,34.10,42.10,49.20,111.60,147.70,182.50,213.10
Child,9-11 years,30.20,38.30,49.10,57.30,130.70,166.20,212.70,248.10
Male,12-14 years,31.40,43.30,53.50,63.50,135.90,187.70,231.70,275.20
Male,15-19 years,32.70,44.90,55.70,65.00,141.80,194.70,241.50,281.50
Male,20-50 years,34.80,44.60,55.60,68.00,150.90,193.40,240.90,294.80
Male,51 years and over,31.70,42.40,52.30,63.20,137.30,183.80,226.60,273.90
Female,12-19 years,31.20,37.60,45.30,55.10,135.30,162.70,196.40,238.70
Female,20-50 years,31.40,38.90,47.50,61.20,136.00,168.50,205.80,265.30
Female,51 years and over,30.80,37.70,47.00,56.60,133.60,163.40,203.50,245.40
