Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.50,19.00,22.30,27.10,67.20,82.30,96.60,117.40
Child,3-5 years,16.80,20.80,25.70,30.90,72.80,90.10,111.40,133.90
Child,6-8 years,20.70,27.70,34.40,40.00,89.70,120.00,149.10,173.30
Child,9-11 years,24.60,31.40,40.00,46.40,106.60,136.10,173.30,201.10
Male,12-14 years,25.40,35.40,43.90,51.50,110.10,153.40,190.20,223.10
Male,15-19 years,26.20,36.40,45.40,52.30,113.50,157.70,196.70,226.60
Male,20-50 years,28.10,36.10,44.90,54.40,121.80,156.40,194.60,235.70
Male,51 years and over,25.30,34.40,42.30,50.80,109.60,149.10,183.30,220.10
Female,12-19 years,25.40,30.50,37.00,44.70,110.10,132.20,160.30,193.70
Female,20-50 years,25.30,31.50,38.40,49.20,109.60,136.50,166.40,213.20
Female,51 years and over,24.90,30.60,38.10,45.60,107.90,132.60,165.10,197.60
