Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.00,18.50,21.70,26.40,65.00,80.20,94.00,114.40
Child,3-5 years,16.30,20.30,25.10,30.10,70.60,88.00,108.80,130.40
Child,6-8 years,20.20,27.00,33.60,39.10,87.50,117.00,145.60,169.40
Child,9-11 years,24.00,30.60,39.10,45.30,104.00,132.60,169.40,196.30
Male,12-14 years,24.90,34.60,42.90,50.40,107.90,149.90,185.90,218.40
Male,15-19 years,25.70,35.60,44.40,51.30,111.40,154.30,192.40,222.30
Male,20-50 years,27.70,35.60,44.40,53.80,120.00,154.30,192.40,233.10
Male,51 years and over,25.00,33.90,41.80,50.20,108.30,146.90,181.10,217.50
Female,12-19 years,24.70,29.80,36.20,43.70,107.00,129.10,156.90,189.40
Female,20-50 years,25.00,31.10,37.90,48.70,108.30,134.80,164.20,211.00
Female,51 years and over,24.50,30.20,37.60,44.90,106.20,130.90,162.90,194.60
