Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.40,25.80,29.60,36.10,84.30,111.60,128.40,156.50
Child,2-3 years,20.50,26.00,31.40,38.10,88.90,112.60,136.10,165.10
Child,4-5 years,21.50,27.20,33.60,40.90,93.10,118.00,145.40,177.10
Child,6-8 years,27.20,36.50,45.20,53.20,117.90,158.20,195.80,230.70
Child,9-11 years,31.60,41.20,52.70,61.90,136.90,178.60,228.50,268.20
Male,12-13 years,33.10,46.30,57.30,68.10,143.60,200.80,248.50,295.10
Male,14-18 years,34.30,47.70,59.00,69.20,148.40,206.60,255.60,300.00
Male,19-50 years,36.90,47.60,58.90,72.10,159.70,206.30,255.00,312.20
Male,51-70 years,33.70,45.20,55.40,67.00,146.10,195.80,239.90,290.30
Male,71+ years,33.80,45.00,55.90,67.10,146.30,195.10,242.10,290.60
Female,12-13 years,33.10,40.40,49.00,59.00,143.40,175.10,212.40,255.90
Female,14-18 years,33.00,40.50,48.70,59.20,142.90,175.50,210.90,256.60
Female,19-50 years,33.20,41.60,50.70,65.40,143.70,180.10,219.60,283.50
Female,51-70 years,32.60,40.20,50.00,60.10,141.40,174.30,216.50,260.30
Female,71+ years,32.30,40.20,50.20,60.40,140.10,174.10,217.70,261.70
