Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.90,18.30,21.40,26.00,64.40,79.30,92.60,112.60
Child,3-5 years,16.00,20.00,24.70,29.60,69.50,86.50,106.90,128.30
Child,6-8 years,19.70,26.40,33.00,38.40,85.30,114.60,142.90,166.40
Child,9-11 years,23.40,30.00,38.30,44.60,101.40,130.10,166.10,193.10
Male,12-14 years,24.20,33.90,42.10,49.50,104.90,146.80,182.20,214.30
Male,15-19 years,25.00,34.90,43.40,50.20,108.50,151.10,188.10,217.50
Male,20-50 years,27.00,34.60,43.10,52.20,116.80,149.80,186.80,226.30
Male,51 years and over,24.40,33.00,40.60,48.70,105.50,142.80,175.80,210.80
Female,12-19 years,24.30,29.20,35.40,42.80,105.30,126.70,153.40,185.40
Female,20-50 years,24.30,30.30,36.80,47.10,105.30,131.30,159.40,204.00
Female,51 years and over,23.90,29.40,36.50,43.70,103.70,127.60,158.10,189.40
