Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.60,20.50,24.10,29.20,71.90,88.80,104.40,126.50
Child,2 years,16.60,20.50,24.10,29.20,71.90,88.80,104.40,126.50
Child,3-5 years,18.00,22.50,27.80,33.30,78.00,97.50,120.50,144.30
Child,6-8 years,22.40,29.90,37.20,43.30,97.10,129.60,161.20,187.60
Child,9-11 years,26.50,33.90,43.40,50.20,114.80,146.90,188.10,217.50
Male,12-14 years,27.40,38.30,47.50,55.90,118.70,166.00,205.80,242.20
Male,15-19 years,28.30,39.50,49.30,56.80,122.60,171.20,213.60,246.10
Male,20-50 years,30.20,39.50,49.10,59.50,130.90,171.20,212.80,257.80
Male,51 years and over,27.60,37.60,46.20,55.50,119.60,162.90,200.20,240.50
Female,12-19 years,27.50,33.10,40.10,48.50,119.20,143.40,173.80,210.20
Female,20-50 years,27.40,34.50,42.00,54.00,118.70,149.50,182.00,234.00
Female,51 years and over,27.00,33.60,41.70,49.80,117.00,145.60,180.70,215.80
