Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.80,22.20,26.10,31.50,77.10,96.10,113.30,136.50
Child,2 years,17.70,22.00,26.40,31.70,76.80,95.20,114.20,137.20
Child,3-5 years,19.60,24.20,30.00,36.00,84.80,104.80,130.00,155.90
Child,6-8 years,24.50,32.50,40.10,46.80,106.20,140.70,173.70,202.70
Child,9-11 years,28.70,36.60,47.00,54.50,124.10,158.40,203.60,236.10
Male,12-14 years,29.90,41.30,51.20,60.40,129.60,178.90,222.00,261.70
Male,15-19 years,30.90,42.50,53.40,62.10,134.00,184.30,231.40,269.00
Male,20-50 years,33.00,42.70,53.40,65.20,143.10,185.00,231.40,282.50
Male,51 years and over,30.30,40.90,50.40,60.60,131.30,177.20,218.30,262.70
Female,12-19 years,29.90,35.80,43.70,52.50,129.60,155.20,189.10,227.40
Female,20-50 years,29.90,37.30,45.70,58.90,129.70,161.80,197.90,255.20
Female,51 years and over,29.60,36.30,45.30,54.50,128.50,157.50,196.50,235.90
