Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.40,19.00,22.30,27.10,66.70,82.30,96.60,117.40
Child,2 years,15.40,19.00,22.30,27.10,66.70,82.30,96.60,117.40
Child,3-5 years,16.70,20.80,25.70,30.90,72.40,90.10,111.40,133.90
Child,6-8 years,20.70,27.70,34.40,40.00,89.70,120.00,149.10,173.30
Child,9-11 years,24.60,31.40,40.00,46.40,106.60,136.10,173.30,201.10
Male,12-14 years,25.40,35.40,43.80,51.50,110.10,153.40,189.80,223.10
Male,15-19 years,26.20,36.40,45.30,52.40,113.50,157.70,196.30,227.00
Male,20-50 years,28.10,36.20,45.00,54.60,121.80,156.90,195.00,236.60
Male,51 years and over,25.20,34.40,42.40,50.90,109.20,149.10,183.70,220.50
Female,12-19 years,25.40,30.40,36.90,44.60,110.10,131.70,159.90,193.30
Female,20-50 years,25.30,31.50,38.40,49.20,109.60,136.50,166.40,213.20
Female,51 years and over,24.80,30.70,38.10,45.60,107.50,133.00,165.10,197.60
