Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.00,28.10,32.10,38.60,90.80,121.80,139.30,167.20
Child,2-3 years,22.50,28.60,34.50,42.00,97.50,123.80,149.40,182.00
Child,4-5 years,23.50,29.70,36.90,44.40,101.80,128.70,159.90,192.30
Child,6-8 years,29.90,40.80,49.90,58.40,129.70,176.80,216.40,253.20
Child,9-11 years,34.50,44.50,58.20,67.90,149.60,192.90,252.00,294.30
Male,12-13 years,36.50,51.30,63.90,75.30,157.90,222.50,276.90,326.50
Male,14-18 years,37.70,52.70,65.80,76.20,163.30,228.20,285.30,330.40
Male,19-50 years,40.40,52.20,65.00,79.80,175.20,226.10,281.80,345.60
Male,51-70 years,37.00,49.40,60.70,73.70,160.30,214.20,263.10,319.50
Male,71+ years,37.00,48.80,60.90,74.50,160.40,211.60,263.80,322.70
Female,12-13 years,36.40,44.40,54.00,65.10,157.60,192.60,233.80,282.20
Female,14-18 years,36.10,44.70,53.60,66.00,156.40,193.70,232.40,286.20
Female,19-50 years,36.00,45.30,55.80,71.50,155.90,196.40,241.90,309.90
Female,51-70 years,35.70,44.20,54.80,65.70,154.50,191.50,237.40,284.60
Female,71+ years,35.40,43.90,54.80,66.00,153.20,190.00,237.40,285.80
