Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.60,24.20,29.30,72.40,89.30,104.90,127.00
Child,2 years,16.70,20.60,24.20,29.40,72.40,89.30,104.90,127.40
Child,3-5 years,18.20,22.60,28.00,33.50,78.90,97.90,121.30,145.20
Child,6-8 years,22.70,30.10,37.40,43.40,98.40,130.40,162.10,188.10
Child,9-11 years,26.70,34.10,43.60,50.40,115.70,147.80,188.90,218.40
Male,12-14 years,27.70,38.50,47.70,56.00,120.00,166.80,206.70,242.60
Male,15-19 years,28.60,39.70,49.60,57.20,123.90,172.00,214.90,247.80
Male,20-50 years,30.60,39.70,49.50,60.00,132.60,172.00,214.50,260.00
Male,51 years and over,27.80,37.80,46.50,55.80,120.50,163.80,201.50,241.80
Female,12-19 years,27.70,33.20,40.30,48.60,120.00,143.90,174.60,210.60
Female,20-50 years,27.70,34.70,42.30,54.30,120.00,150.40,183.30,235.30
Female,51 years and over,27.20,33.70,41.90,49.90,117.90,146.00,181.60,216.20
