Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.70,19.20,22.60,27.50,68.00,83.20,97.90,119.20
Child,2 years,15.60,19.20,22.60,27.50,67.60,83.20,97.90,119.20
Child,3-5 years,16.90,21.10,26.10,31.30,73.20,91.40,113.10,135.60
Child,6-8 years,20.90,28.10,34.90,40.60,90.60,121.80,151.20,175.90
Child,9-11 years,24.90,31.80,40.70,47.10,107.90,137.80,176.40,204.10
Male,12-14 years,25.60,35.90,44.60,52.40,110.90,155.60,193.30,227.00
Male,15-19 years,26.40,37.00,46.10,53.20,114.40,160.30,199.80,230.50
Male,20-50 years,28.30,36.70,45.80,55.50,122.60,159.00,198.50,240.50
Male,51 years and over,25.60,35.00,43.10,51.80,110.90,151.70,186.80,224.40
Female,12-19 years,25.70,31.00,37.60,45.50,111.40,134.30,162.90,197.20
Female,20-50 years,25.70,32.10,39.10,50.20,111.40,139.10,169.40,217.50
Female,51 years and over,25.20,31.20,38.80,46.50,109.20,135.20,168.10,201.50
