Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.70,27.50,31.40,38.00,89.70,119.10,136.10,164.60
Child,2-3 years,22.10,27.80,33.60,40.90,95.90,120.30,145.80,177.20
Child,4-5 years,23.00,29.10,35.90,43.70,99.50,126.10,155.40,189.30
Child,6-8 years,29.30,39.60,48.60,57.20,127.00,171.40,210.50,247.60
Child,9-11 years,33.90,44.00,56.40,66.30,146.70,190.80,244.40,287.10
Male,12-13 years,35.90,50.20,62.40,73.50,155.40,217.70,270.30,318.60
Male,14-18 years,37.30,52.00,64.80,74.60,161.50,225.30,281.00,323.20
Male,19-50 years,40.00,51.30,64.10,78.40,173.30,222.50,277.90,339.70
Male,51-70 years,36.60,48.70,59.50,72.10,158.80,210.90,257.70,312.20
Male,71+ years,36.70,48.20,59.70,73.30,158.90,208.80,258.80,317.50
Female,12-13 years,36.00,43.90,52.50,63.80,156.10,190.10,227.60,276.40
Female,14-18 years,35.70,44.10,53.20,65.40,154.80,191.10,230.40,283.20
Female,19-50 years,35.50,44.70,54.90,70.40,153.80,193.70,238.00,305.20
Female,51-70 years,35.20,43.60,54.10,64.40,152.70,189.00,234.30,278.90
Female,71+ years,34.60,43.20,53.90,64.70,149.90,187.40,233.50,280.50
