Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.10,18.60,21.80,26.40,65.40,80.60,94.50,114.40
Child,3-5 years,16.40,20.30,25.20,30.20,71.10,88.00,109.20,130.90
Child,6-8 years,20.20,27.10,33.70,39.20,87.50,117.40,146.00,169.90
Child,9-11 years,24.00,30.70,39.20,45.40,104.00,133.00,169.90,196.70
Male,12-14 years,24.90,34.70,43.00,50.50,107.90,150.40,186.30,218.80
Male,15-19 years,25.70,35.70,44.40,51.30,111.40,154.70,192.40,222.30
Male,20-50 years,27.60,35.50,44.20,53.60,119.60,153.80,191.50,232.20
Male,51 years and over,24.90,33.80,41.60,49.90,107.90,146.50,180.30,216.20
Female,12-19 years,24.80,29.80,36.20,43.70,107.50,129.10,156.90,189.40
Female,20-50 years,24.80,31.00,37.70,48.30,107.50,134.30,163.40,209.30
Female,51 years and over,24.40,30.10,37.40,44.70,105.70,130.40,162.10,193.70
