Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.40,28.70,32.60,39.70,92.70,124.40,141.10,172.00
Child,2-3 years,23.40,29.90,36.10,43.90,101.40,129.40,156.40,190.00
Child,4-5 years,24.50,31.00,38.40,46.70,106.20,134.20,166.20,202.10
Child,6-8 years,31.20,43.00,52.40,61.70,135.10,186.30,226.80,267.40
Child,9-11 years,35.50,46.80,60.60,70.60,153.60,202.90,262.70,305.90
Male,12-13 years,38.00,53.70,67.30,78.90,164.50,232.50,291.60,341.90
Male,14-18 years,39.00,54.60,69.30,79.50,169.10,236.60,300.50,344.30
Male,19-50 years,42.10,54.30,68.20,83.70,182.50,235.50,295.60,362.50
Male,51-70 years,38.40,51.40,63.90,76.90,166.30,222.50,276.70,333.40
Male,71+ years,38.80,50.90,63.10,77.70,167.90,220.50,273.50,336.80
Female,12-13 years,38.00,46.40,55.90,68.30,164.80,201.20,242.10,295.80
Female,14-18 years,37.40,46.50,56.20,69.10,161.90,201.50,243.30,299.60
Female,19-50 years,37.50,47.20,58.30,74.50,162.50,204.50,252.50,322.80
Female,51-70 years,37.00,46.10,57.40,68.90,160.40,199.70,248.60,298.50
Female,71+ years,36.20,45.70,56.70,68.30,156.90,198.20,245.80,296.00
