Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.00,26.60,30.50,36.70,86.70,115.50,132.30,159.10
Child,2-3 years,21.60,27.10,32.90,40.00,93.60,117.40,142.50,173.50
Child,4-5 years,22.40,28.30,35.10,42.60,96.90,122.80,151.90,184.60
Child,6-8 years,28.60,38.60,47.60,55.90,123.90,167.40,206.30,242.40
Child,9-11 years,32.90,42.80,55.40,64.70,142.40,185.50,240.00,280.10
Male,12-13 years,34.90,49.10,61.20,72.00,151.40,212.90,265.20,312.00
Male,14-18 years,36.10,50.70,63.40,72.60,156.50,219.90,274.50,314.60
Male,19-50 years,38.80,50.00,62.60,76.70,168.10,216.70,271.20,332.20
Male,51-70 years,35.50,47.20,58.00,70.30,153.60,204.70,251.20,304.50
Male,71+ years,35.60,46.70,58.10,71.50,154.50,202.30,251.80,309.90
Female,12-13 years,35.10,42.60,51.30,62.20,152.00,184.60,222.40,269.40
Female,14-18 years,34.60,42.90,51.80,63.70,150.00,186.10,224.60,275.90
Female,19-50 years,34.50,43.40,53.60,68.60,149.30,188.10,232.10,297.10
Female,51-70 years,34.10,42.30,52.50,62.60,147.60,183.30,227.50,271.20
Female,71+ years,33.60,41.90,52.20,62.90,145.80,181.60,226.30,272.40
