Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.20,28.10,31.90,38.80,91.90,121.90,138.40,168.10
Child,2-3 years,23.20,29.10,35.30,43.00,100.40,126.20,152.90,186.50
Child,4-5 years,24.00,30.40,37.40,45.50,104.20,131.60,162.10,197.20
Child,6-8 years,30.80,42.20,51.10,60.10,133.30,183.00,221.40,260.50
Child,9-11 years,34.80,45.90,59.10,68.90,151.00,199.10,255.90,298.40
Male,12-13 years,37.60,53.10,66.30,77.50,162.80,230.00,287.20,335.80
Male,14-18 years,38.80,54.30,68.40,78.30,168.00,235.30,296.30,339.10
Male,19-50 years,41.60,53.70,67.20,82.60,180.20,232.80,291.10,358.00
Male,51-70 years,38.00,50.60,62.50,75.40,164.80,219.30,270.70,326.80
Male,71+ years,38.20,50.50,62.00,76.50,165.70,218.60,268.70,331.50
Female,12-13 years,37.60,45.80,54.60,66.90,162.90,198.60,236.50,289.90
Female,14-18 years,37.00,46.00,55.70,68.50,160.40,199.40,241.30,296.90
Female,19-50 years,37.00,46.60,57.60,73.40,160.10,201.90,249.40,318.20
Female,51-70 years,36.50,45.50,56.30,67.40,158.00,197.10,244.10,291.90
Female,71+ years,35.50,45.30,55.80,67.10,153.90,196.30,241.90,290.50
