Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.10,21.20,25.70,64.30,78.60,91.80,111.30
Child,3-5 years,16.00,19.90,24.50,29.40,69.50,86.00,106.10,127.40
Child,6-8 years,19.70,26.30,32.80,38.10,85.40,114.00,142.20,165.30
Child,9-11 years,23.40,29.90,38.10,44.30,101.50,129.40,165.20,191.80
Male,12-14 years,24.20,33.70,41.80,49.20,104.90,146.10,181.10,213.10,FEMALE:,24.30,29.10,35.20,42.50,105.30,126.00,152.50,184.20
Male,15-19 years,25.10,34.80,43.20,50.00,108.60,150.60,187.10,216.50,12-19 years,24.30,30.10,36.50,46.70,105.30,130.40,158.20,202.40
Male,20-50 years,26.90,34.40,42.90,51.90,116.60,148.90,185.80,224.90,20-50 years,23.90,29.20,36.20,43.30,103.50,126.50,156.80,187.60
Female,12-19 years,24.30,29.10,35.20,42.50,105.30,126.00,152.50,184.20
Female,20-50 years,24.30,30.10,36.50,46.70,105.30,130.40,158.20,202.40
Female,51 years and over,23.90,29.20,36.20,43.30,103.50,126.50,156.80,187.60
