Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.90,18.30,21.40,26.00,64.50,79.30,92.90,112.50
Child,3-5 years,16.10,20.00,24.70,29.70,69.90,86.80,107.20,128.50
Child,6-8 years,19.90,26.60,33.10,38.60,86.00,115.10,143.50,167.10
Child,9-11 years,23.60,30.20,38.60,44.70,102.20,130.80,167.40,193.60
Male,12-14 years,24.50,34.10,42.30,49.80,106.20,147.80,183.20,215.80,FEMALE:,24.40,29.40,35.70,43.10,105.80,127.50,154.80,186.90
Male,15-19 years,25.30,35.20,43.80,50.60,109.50,152.30,189.80,219.30,12-19 years,24.70,30.70,37.40,48.00,106.80,133.20,162.00,208.00
Male,20-50 years,27.30,35.00,43.80,53.00,118.30,151.50,189.70,229.70,20-50 years,24.20,29.80,37.00,44.30,104.90,129.00,160.50,192.10
Female,12-19 years,24.40,29.40,35.70,43.10,105.80,127.50,154.80,186.90
Female,20-50 years,24.70,30.70,37.40,48.00,106.80,133.20,162.00,208.00
Female,51 years and over,24.20,29.80,37.00,44.30,104.90,129.00,160.50,192.10
