Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.80,20.50,24.10,29.20,72.80,88.80,104.40,126.50
Child,2 years,16.70,20.50,24.10,29.20,72.40,88.80,104.40,126.50
Child,3-5 years,18.20,22.50,27.80,33.30,78.90,97.50,120.50,144.30
Child,6-8 years,22.60,30.00,37.30,43.40,97.90,130.00,161.60,188.10
Child,9-11 years,26.60,34.00,43.60,50.20,115.30,147.30,188.90,217.50
Male,12-14 years,27.70,38.40,47.60,56.00,120.00,166.40,206.30,242.60
Male,15-19 years,28.60,39.70,49.40,57.00,123.90,172.00,214.10,247.00
Male,20-50 years,30.50,39.70,49.30,59.80,132.20,172.00,213.60,259.10
Male,51 years and over,27.80,37.80,46.40,55.70,120.50,163.80,201.10,241.30
Female,12-19 years,27.70,33.20,40.30,48.60,120.00,143.90,174.60,210.60
Female,20-50 years,27.70,34.70,42.30,54.30,120.00,150.40,183.30,235.30
Female,51 years and over,27.20,33.80,41.90,49.90,117.90,146.50,181.60,216.20
