Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.40,24.00,29.10,72.40,88.40,104.00,126.10
Child,2 years,16.60,20.40,24.00,29.10,71.90,88.40,104.00,126.10
Child,3-5 years,18.10,22.40,27.70,33.20,78.40,97.10,120.00,143.90
Child,6-8 years,22.50,29.90,37.20,43.30,97.50,129.60,161.20,187.60
Child,9-11 years,26.50,33.90,43.40,50.10,114.80,146.90,188.10,217.10
Male,12-14 years,27.50,38.30,47.50,55.80,119.20,166.00,205.80,241.80
Male,15-19 years,28.50,39.60,49.30,56.80,123.50,171.60,213.60,246.10
Male,20-50 years,30.40,39.50,49.10,59.50,131.70,171.20,212.80,257.80
Male,51 years and over,27.60,37.60,46.20,55.40,119.60,162.90,200.20,240.00
Female,12-19 years,27.60,33.10,40.10,48.40,119.60,143.40,173.80,209.70
Female,20-50 years,27.50,34.60,42.10,54.00,119.20,149.90,182.40,234.00
Female,51 years and over,27.10,33.60,41.60,49.70,117.40,145.60,180.30,215.40
