Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.20,28.10,31.90,38.90,91.90,121.80,138.10,168.40
Child,2-3 years,23.20,29.20,35.40,43.10,100.50,126.50,153.30,186.80
Child,4-5 years,24.10,30.40,37.50,45.80,104.50,131.80,162.40,198.40
Child,6-8 years,30.80,42.50,51.30,60.50,133.60,184.10,222.10,262.30
Child,9-11 years,34.80,46.20,59.30,69.10,151.00,200.30,256.80,299.40
Male,12-13 years,37.60,53.20,66.60,77.80,163.10,230.50,288.60,337.20
Male,14-18 years,38.80,54.30,68.70,78.60,168.10,235.40,297.70,340.50
Male,19-50 years,41.70,53.80,67.40,83.00,180.60,233.20,292.10,359.40
Male,51-70 years,38.10,50.70,62.70,75.60,165.10,219.60,271.60,327.70
Male,71+ years,38.40,50.50,62.10,76.80,166.30,218.90,269.00,332.80
Female,12-13 years,37.70,45.90,54.70,67.20,163.60,199.00,237.00,291.10
Female,14-18 years,37.10,46.10,55.90,68.80,160.60,199.70,242.40,297.90
Female,19-50 years,37.00,46.70,57.80,73.60,160.40,202.20,250.20,319.00
Female,51-70 years,36.50,45.50,56.50,67.70,158.30,197.40,244.90,293.30
Female,71+ years,35.50,45.30,55.90,67.20,153.80,196.40,242.10,291.10
