Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.40,20.20,23.80,28.90,71.10,87.50,103.10,125.20
Child,2 years,16.40,20.20,23.80,28.90,71.10,87.50,103.10,125.20
Child,3-5 years,17.80,22.20,27.50,32.90,77.10,96.20,119.20,142.60
Child,6-8 years,22.10,29.60,36.80,42.80,95.80,128.30,159.50,185.50
Child,9-11 years,26.10,33.50,42.90,49.70,113.10,145.20,185.90,215.40
Male,12-14 years,27.10,37.90,47.00,55.30,117.40,164.20,203.70,239.60
Male,15-19 years,27.90,39.10,48.70,56.20,120.90,169.40,211.00,243.50
Male,20-50 years,29.80,38.90,48.40,58.60,129.10,168.60,209.70,253.90
Male,51 years and over,27.10,37.00,45.50,54.60,117.40,160.30,197.20,236.60
Female,12-19 years,27.10,32.70,39.60,47.90,117.40,141.70,171.60,207.60
Female,20-50 years,27.10,34.00,41.30,53.00,117.40,147.30,179.00,229.60
Female,51 years and over,26.60,33.10,41.00,49.00,115.30,143.40,177.70,212.30
