Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.90,18.40,21.50,26.10,64.70,79.60,93.20,113.10
Child,3-5 years,16.20,20.10,24.80,29.70,70.00,87.00,107.60,128.90
Child,6-8 years,19.90,26.60,33.20,38.60,86.10,115.40,143.80,167.50
Child,9-11 years,23.60,30.30,38.70,44.80,102.40,131.10,167.70,194.10
Male,12-14 years,24.50,34.20,42.40,49.90,106.30,148.10,183.60,216.10
Male,15-19 years,25.30,35.20,43.80,50.70,109.60,152.50,190.00,219.60
Male,20-50 years,27.30,35.00,43.80,53.10,118.40,151.70,189.70,229.90
Male,51 years and over,24.60,33.50,41.20,49.50,106.70,145.00,178.60,214.30
Female,12-19 years,24.50,29.50,35.80,43.20,106.10,127.80,155.00,187.30
Female,20-50 years,24.60,30.80,37.40,48.00,106.80,133.30,162.10,208.10
Female,51 years and over,24.20,29.80,37.10,44.40,105.00,129.30,160.70,192.30
