Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.90,19.60,23.00,27.90,68.90,84.90,99.70,120.90
Child,2 years,15.90,19.60,23.00,27.90,68.90,84.90,99.70,120.90
Child,3-5 years,17.20,21.50,26.60,31.90,74.50,93.20,115.30,138.20
Child,6-8 years,21.30,28.60,35.60,41.40,92.30,123.90,154.30,179.40
Child,9-11 years,25.30,32.40,41.40,48.00,109.60,140.40,179.40,208.00
Male,12-14 years,26.10,36.60,45.40,53.40,113.10,158.60,196.70,231.40
Male,15-19 years,26.90,37.70,47.00,54.20,116.60,163.40,203.70,234.80
Male,20-50 years,28.80,37.50,46.70,56.60,124.80,162.50,202.40,245.20
Male,51 years and over,26.10,35.70,43.90,52.80,113.10,154.70,190.20,228.80
Female,12-19 years,26.20,31.50,38.30,46.30,113.50,136.50,166.00,200.60
Female,20-50 years,26.10,32.80,39.90,51.20,113.10,142.10,172.90,221.80
Female,51 years and over,25.70,31.90,39.60,47.40,111.40,138.20,171.60,205.40
